siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords,,,,
s16400,4390824,PDE8B,phosphodiesterase 8B,ADSD;PPNAD3,XM_006714725.3;NM_001029851.2;XM_006714726.3;XM_011543699.2;XM_011543703.2;XM_005248623.4;XM_011543701.2;XM_005248624.4;XM_017010007.1;XM_017010008.1;XM_017010005.1;XM_005248621.4;XM_017010006.1;XM_011543704.2;XM_017010003.1;XM_017010004.1;XM_011543700.2;NM_003719.3;NM_001029852.2;NM_001029854.2;XM_011543702.2;NM_001029853.2,AL831924.1;AY129948.1;AK023913.1;AK002074.1;AB085827.1;AB085826.1;AB085825.1;AB085824.1;AF079529.2;AY129949.1,,Silencer® Select,Inventoried,,*,,,,
s16595,4390824,TNK1,tyrosine kinase non receptor 1,,XM_011524045.2;NM_003985.4;XM_011524046.2;XM_011524048.1;NM_001251902.1,AK225403.1;BC035782.1;U43408.1;AK310684.1,,Silencer® Select,Inventoried,,*,,,,
s15739,4390824,USP11,ubiquitin specific peptidase 11,UHX1,XM_011543988.1;XM_005272674.3;NM_004651.3,AK098394.1;BC063668.1;AK294635.1;U44839.1;BC140849.1;AK055588.1;AB073597.1;BC000350.2,,Silencer® Select,Inventoried,,*,,,,
s34056,4390824,SLC25A19,solute carrier family 25 member 19,DNC;MCPHA;MUP1;THMD3;THMD4;TPC,XM_005257560.2;XM_005257559.3;XM_005257562.2;XM_005257561.3;XM_017024926.1;XM_017024927.1;XM_017024928.1;XM_011525098.1;XM_006722007.2;NM_001126121.1;NM_001126122.1;NM_021734.4,AJ251857.1;BC001075.2;AK225881.1;DB482052.1;AK097882.1;BC005120.1;AK075239.1;AF182404.1;BU177306.1;DA605220.1;AL833387.1,,Silencer® Select,Inventoried,,*,,,,
s22138,4390824,AKAP11,A-kinase anchoring protein 11,AKAP-11;AKAP220;PPP1R44;PRKA11,XM_017020381.1;XM_017020382.1;XM_011534903.2;XM_017020383.1;XM_011534905.1;XM_011534904.1;XM_005266250.3;XM_011534906.2;NM_016248.3;XM_005266249.3;XM_005266248.3;XM_005266247.1,AF176555.1;CR627087.1,,Silencer® Select,Inventoried,,*,,,,
s12246,4390824,RPN1,ribophorin I,OST1;RBPH1,NM_002950.3,CR749284.1;CR456742.1;BC007995.1;AK312369.1;AK296905.1;AK223595.1;AK297941.1;BC010839.1;AK297513.1;Y00281.1,,Silencer® Select,Inventoried,,*,,,,
s16861,4390824,GGH,gamma-glutamyl hydrolase,GH,NM_003878.2,AK301094.1;U55206.1;BC025025.1;AK290450.1,,Silencer® Select,Inventoried,,*,,,,
s14160,4390824,TK1,thymidine kinase 1,TK2,NM_003258.4;XM_017024992.1,BC007986.2;BC007872.2;BI754079.1;BT006941.1;AB451268.1;AB451395.1;AK314950.1;BC006484.1;K02581.1,,Silencer® Select,Inventoried,,*,,,,
s9756,4390824,ROR1,receptor tyrosine kinase like orphan receptor 1,NTRKR1;dJ537F10.1,XM_017001377.1;XM_017001376.1;NM_001083592.1;XM_011541526.1;NM_005012.3,AK309189.1;BC128386.1;BC080541.1;M97675.1;AK308088.1,,Silencer® Select,Inventoried,,*,,,,
s736,4390824,GART,phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase,AIRS;GARS;GARTF;PAIS;PGFT;PRGS,XM_006723990.1;XM_011529526.1;XM_005260941.1;XM_006723989.1;NM_001136006.1;NM_001136005.1;NM_175085.2;NM_000819.4,DB236855.1;D32051.1;DB062974.1;AK292897.1;X54199.1;BC107712.1;AB208785.1;BC101565.1;AK292560.1;BX648124.1;BC093641.1;BC038958.1,,Silencer® Select,Inventoried,,*,,
s316,4390824,EBP,emopamil binding protein (sterol isomerase),CDPX2;CHO2;CPX;CPXD;MEND,NM_006579.2,Z37986.1;BC046501.1;BC001572.1;BC001549.1,,Silencer® Select,Inventoried,,*,,,,
s11660,4390824,RAB2A,RAB2A, member RAS oncogene family,LHX;RAB2,NM_001242644.1;NM_002865.2,X12953.1;AK297576.1;BC008929.2;AK312344.1;AF498930.1;AF070629.1;BT019695.1,,Silencer® Select,Inventoried,,*,,,
s14671,4390824,UCK2,uridine-cytidine kinase 2,TSA903;UK;UMPK,XM_017002236.1;XM_011509970.2;NM_012474.4,AB062451.1;AF236637.1;D78335.1;BC002906.2,,Silencer® Select,Inventoried,,*,,,,
s16279,4390824,MAPKAPK5,mitogen-activated protein kinase-activated protein kinase 5,MAPKAP-K5;MK-5;MK5;PRAK,XM_017020129.1;XM_017020130.1;XM_017020131.1;XM_017020132.1;XM_017020125.1;XM_017020126.1;XM_017020127.1;XM_017020128.1;NM_139078.2;XM_017020137.1;XM_017020138.1;XM_017020139.1;XM_017020133.1;NM_003668.3;XM_017020134.1;XM_017020135.1;XM_017020136.1,BC041049.1;AL110301.1;AK122767.1;BC047284.1;BC000833.1,,Silencer® Select,Inventoried,,*,,,,
s21042,4390824,USP39,ubiquitin specific peptidase 39,65K;CGI-21;HSPC332;SAD1;SNRNP65,NM_001256725.1;XM_006711922.1;XM_006711923.2;XM_017003182.1;NM_001256728.1;NM_001256726.1;NM_001256727.1;NM_006590.3;NR_046347.1;XM_011532487.1;XM_011532488.1,AK309485.1;AF353989.1;AK056334.1;AK289451.1;BC067273.1;AF161450.1;AL117416.1;AK302236.1;AF130096.1;AK295257.1;BC001384.2;AK222852.1;AK001772.1;AK129872.1;AK001047.1,,Silencer® Select,Inventoried,,*,,,,
s11916,4390824,RELA,RELA proto-oncogene, NF-kB subunit,NFKB3;p65,NM_001243985.1;NM_001145138.1;NM_021975.3;XM_011545207.1;XM_011545206.1,BC011603.1;L19067.1;BC014095.2;M62399.1;AK303262.1;BC033522.1;AK308478.1;BC110830.1;AK308020.1,,Silencer® Select,Inventoried,,*,,,
s17014,4390824,MTMR2,myotubularin related protein 2,CMT4B;CMT4B1,XM_005274375.2;XM_005274374.2;NM_001243571.1;XM_011543059.2;NM_201278.2;NM_016156.5;XM_011543058.2;NM_201281.2;XM_017018517.1;XM_017018518.1;XM_006718935.2;XM_006718934.2;XM_006718936.3,AK291277.1;BC052990.1;BC040432.1;AK027038.1;BC034474.1;U58033.1;AK302940.1;BX647997.1;AB028996.1,,Silencer® Select,Inventoried,,*,,,,
s7244,4390824,CYR61,cysteine rich angiogenic inducer 61,CCN1;GIG1;IGFBP10,NM_001554.4,Z98053.1;AK223385.1;BC016952.1;AK295430.1;AF003114.1;BC009199.2;Y11307.1;AK096420.1;CR536519.1;AK314571.1;U62015.1;AF003594.1;AL832891.1;Y12084.1;AF031385.1;BC001271.1,,Silencer® Select,Inventoried,,*,,,,
s18238,4390824,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,C3-C5;METH1,NM_006988.4,AF207664.1;BC036515.2;AL162080.1;AF060152.1;AB037767.1;BX647388.1;AF170084.1;AK314475.1,,Silencer® Select,Inventoried,,*,,,,
s32942,4390824,KAT14,lysine acetyltransferase 14,ATAC2;CRP2BP;CSRP2BP;PRO1194;dJ717M23.1,NR_028402.2;NM_020536.4,AK297597.1;BC007537.1;BC009174.2;AK023759.1,,Silencer® Select,Inventoried,,*,,,,
s225033,4390824,CDS2,CDP-diacylglycerol synthase 2,,XM_006723660.1;XM_011529390.1;NM_003818.3,AK304763.1;AK315489.1;AK303426.1;AK095430.1;AK027695.1;AF069532.1;BC025751.1;Y16521.1;AK001414.1,,Silencer® Select,Inventoried,,*,,,,
s340,4390824,CRY1,cryptochrome circadian clock 1,PHLL1,XM_017018832.1;NM_004075.4,BC030519.1;AK098615.1;AK125915.1;AK290552.1;D83702.1;BC017466.1;D84657.1,,Silencer® Select,Inventoried,,*,,,,
s10244,4390824,PDHA1,pyruvate dehydrogenase (lipoamide) alpha 1,PDHA;PDHAD;PDHCE1A;PHE1A,NM_000284.3;NM_001173455.1;NM_001173454.1,AK293250.1;AK222740.1;AK312263.1;AK222988.1;X52709.1;X52710.1;J03503.1;EF590117.1;L13318.1;AK296341.1;L48690.1;BC002406.1;M24848.1;EF576990.1;AK129887.1;J03575.1,,Silencer® Select,Inventoried,,*,,,,
s19375,4390824,NUP153,nucleoporin 153,HNUP153;N153,XM_005249507.2;XM_011515028.2;XM_006715291.3;XM_006715290.2;XM_017011594.1;NM_001278210.1;NM_005124.3;NM_001278209.1,AK295644.1;AB210024.1;BC052965.1;Z25535.1,,Silencer® Select,Inventoried,,*,,,,
s11250,4390824,LGMN,legumain,AEP;LGMN1;PRSC1,XM_005267862.3;XM_017021463.1;NM_005606.6;XM_017021466.1;NM_001008530.2;XM_017021465.1;XM_017021464.1,AK291560.1;BX161434.1;AK297074.1;Y09862.1;AK291534.1;AK297780.1;BC003061.2;AK225822.1;BX161380.1;D55696.1;BC013678.1;CR457406.1,,Silencer® Select,Inventoried,,*,,,,
s28618,4390824,ERAP1,endoplasmic reticulum aminopeptidase 1,A-LAP;ALAP;APPILS;ARTS-1;ARTS1;ERAAP;ERAAP1;PILS-AP;PILSAP,NM_001040458.1;XM_005272016.4;XM_011543486.2;XM_011543485.2;XM_011543484.2;NM_001198541.1;XM_017009581.1;XM_017009580.1;XM_011543481.2;XM_011543480.2;XM_005272015.4;NM_016442.3;XM_017009583.1;XM_017009582.1,KM357872.1;BC030775.1;JX962702.1;KM357889.1;AY028807.1;KM357890.1;DA704693.1;DA327238.1;KM357870.1;KM357886.1;KM357877.1;KM357887.1;AK291636.1;JX962699.1;KM357884.1;JX962700.1;KM357885.1;JX962701.1;AY028806.1;AF183569.1;KM357875.1;AF222340.1;KM357881.1;AF106037.1;KM357871.1;KM357873.1;KM357882.1;AY358590.1;AB011097.2;KM357880.1;KM357874.1;KM357891.1;KM357883.1;KM357876.1,,Silencer® Select,Inventoried,,*,,,,
s27874,4390824,ECSIT,ECSIT signalling integrator,SITPEC,NM_001142464.2;NM_001142465.2;NM_001243204.1;NM_016581.4,AK314905.1;BU186092.1;CR457204.1;BC005119.1;BE791936.1;BC008279.1;BC000193.1;AF243044.1,,Silencer® Select,Inventoried,,*,,,,
s17015,4390824,MTMR2,myotubularin related protein 2,CMT4B;CMT4B1,XM_005274375.2;XM_005274374.2;NM_001243571.1;XM_011543059.2;NM_201278.2;XM_011543058.2;NM_016156.5;XM_017018517.1;NM_201281.2;XM_017018518.1;XM_006718935.2;XM_006718934.2;XM_006718936.3,AK293243.1;AK291277.1;BC052990.1;BC040432.1;BC034474.1;BM475570.1;AK302940.1;BX647997.1;BP358035.1;AB028996.1;AL705005.1,,Silencer® Select,Inventoried,,*,,,,
s29709,4390824,ELOVL2,ELOVL fatty acid elongase 2,SSC2,XM_011514717.2;XM_011514716.2;NM_017770.3,BC050278.1;BC060809.1;AK000341.1,,Silencer® Select,Inventoried,,*,,,,
s500,4390824,NPEPPS,aminopeptidase puromycin sensitive,AAP-S;MP100;PSA,NM_006310.3;XM_011525496.1;XM_017025373.1;XM_017025372.1,AK297107.1;AK293450.1;AK296887.1;AK096709.1;AJ132583.1;BC065294.1;AK303037.1;AK096491.1;AK293995.1,,Silencer® Select,Inventoried,,*,,,,
s11581,4390824,PTPRZ1,protein tyrosine phosphatase, receptor type Z1,HPTPZ;HPTPzeta;PTP-ZETA;PTP18;PTPRZ;PTPZ;R-PTP-zeta-2;RPTPB;RPTPbeta;phosphacan,NM_001206838.1;NM_001206839.1;NM_002851.2;XM_017012477.1;XM_005250519.1,M93426.1;U88967.1,,Silencer® Select,Inventoried,,*,,,
s9059,4390824,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,MSR;cblE,NM_024010.2;NR_134480.1;NM_002454.2;NR_134481.1;NR_134482.1,BC109216.1;AF121214.1;AF025794.1;BC054816.1,,Silencer® Select,Inventoried,,*,,,,
s7589,4390824,ITGB5,integrin subunit beta 5,,XM_017006354.1;XM_017006355.1;XM_005247436.2;NM_002213.4;XM_017006352.1;XM_006713630.2;XM_017006353.1;XM_017006351.1,J05633.1;AK309551.1;AK054968.1;X53002.1;BC006541.2;M35011.1;AK315429.1,,Silencer® Select,Inventoried,,*,,,,
s207,4390824,ACADVL,acyl-CoA dehydrogenase, very long chain,ACAD6;LCACD;VLCAD,XM_011523829.1;XM_011523830.1;NM_000018.3;NM_001270447.1;NM_001270448.1;XM_006721516.2;NM_001033859.2,BC012912.1;AK222518.1;D43682.1;BC000399.2;BC020218.1;AK058109.1;X86556.1;AK293549.1;AK056956.1;AK056083.1;AK097243.1,,Silencer® Select,Inventoried,,*,,,
s11339,4390824,PSMA5,proteasome subunit alpha 5,PSC5;ZETA,NM_001199773.1;NM_001199772.1;NM_001199774.1;NM_002790.3,AK304448.1;CR456847.1;BT019717.1;AK225990.1;BC102018.1;BC102020.1;BC103751.1;GU727639.1;BC102019.1;BI825400.1;AK313351.1;BG743267.1;BM793388.1,,Silencer® Select,Inventoried,,*,,,,
s30175,4390824,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2,dJ595C2.1,XM_011509688.1;NM_152663.4;XM_017001591.1;NM_001286247.1;XM_006711410.3;XM_006711411.3,AK301753.1;BC047391.1;AK001106.1,,Silencer® Select,Inventoried,,*,,,,
s22697,4390824,SEPHS1;ZNF138,selenophosphate synthetase 1;zinc finger protein 138,SELD;SPS;SPS1;pHZ-32,NM_012247.4;XM_017015943.1;XM_017015942.1;XM_017015945.1;XM_017015944.1;NM_001195604.1;NM_001195602.1,AK301568.1;AK297129.1;BC063816.1;AK125066.1;GU954545.1;AL834121.1;GU954546.1;BC000941.1;GU954547.1;GU954548.1;U34044.1;GU954549.1,,Silencer® Select,Inventoried,,*,,,,
s11345,4390824,PSMB1,proteasome subunit beta 1,HC5;PMSB1;PSC5,NM_002793.3,BT019720.1;AK223193.1;BC020807.1;BC000508.2;AB451442.1;AK058050.1;AB451312.1;BP369175.1;AB209078.1;D00761.1,,Silencer® Select,Inventoried,,*,,,,
s11080,4390824,PRKAG1,protein kinase AMP-activated non-catalytic subunit gamma 1,AMPKG,NM_001206709.1;NM_001206710.1;XM_005269020.2;XM_011538562.2;XM_017019623.1;XM_017019622.1;XM_006719499.2;NM_002733.4,BG772337.1;BI757340.1;AK097606.1;AK307994.1;AK310250.1;AK303276.1;CB124830.1;DB020277.1;AK293332.1;BT007345.1;BG772412.1;BC000358.2,,Silencer® Select,Inventoried,,*,,,,
s7493,4390824,ITGA6,integrin subunit alpha 6,CD49f;ITGA6B;VLA-6,XM_017004008.1;NM_001316306.1;XM_006712510.1;XM_006712511.1;XM_017004005.1;XM_017004006.1;XM_017004007.1;NM_000210.3;NM_001079818.2,BC007002.1;AK296496.1;BC136456.1;X59512.1;X53586.1;AB208842.1;AK311695.1;BC136455.1,,Silencer® Select,Inventoried,,*,,,,
s650,4390824,AHCYL1,adenosylhomocysteinase like 1,DCAL;IRBIT;PPP1R78;PRO0233;XPVKONA,XM_011540535.1;NM_001242676.1;NM_001242675.1;NM_006621.5;NM_001242674.1;NM_001242673.1,AF035319.1;BC007576.1;BC065254.1;AK303690.1;BC003631.2;BC095476.1;U82761.1;AF315687.1;BC111563.1;BC110896.1;AL049954.1;AK316110.1;BC010681.1;AK131563.1;BC016942.1,,Silencer® Select,Inventoried,,*,,,,
s3754,4390824,CTSL,cathepsin L,CATL;CTSL1;MEP,XM_005251716.3;NM_001912.4;XM_011518263.1;NM_001257972.1;NM_001257971.1;NM_001257973.1;XM_017014293.1;NM_145918.2,AK055599.1;Y18462.1;BX647101.1;BX648849.1;BX647413.1;BC012612.1;AF217997.1;BX648848.1;BX647435.1;BX537395.1;BC142983.1;BX647434.1;BX647102.1;BX649140.1;X12451.1;AK075100.1;AL832167.1;CR457053.1,,Silencer® Select,Inventoried,,*,,,,
s5937,4390824,GNS,glucosamine (N-acetyl)-6-sulfatase,G6S,NM_002076.3,AK308094.1;AK296759.1;Z12173.1;AK308454.1;DA333542.1;AK223484.1;KU178097.1;BC012482.1;DA437901.1;BX486076.1;BX537363.1;AK291771.1;AK304158.1,,Silencer® Select,Inventoried,,*,,,,
s28582,4390824,CMPK1,cytidine/uridine monophosphate kinase 1,CK;CMK;CMPK;UMK;UMP-CMPK;UMPK,NM_016308.2;NR_046394.1;NM_001136140.1,AF110643.1;AK223014.1;BC014961.1;AF070416.1;AK298502.1;AF259961.1;AF087865.1;AK294294.1;AK312693.1;AK025258.1;AF112216.1,,Silencer® Select,Inventoried,,*,,,,
s3740,4390824,CTSB,cathepsin B,APPS;CPSB,XM_017013101.1;XM_017013100.1;XM_017013099.1;NM_147783.3;NM_147782.3;NM_001317237.1;NM_147781.3;XM_011543812.2;NM_147780.3;XM_017013098.1;XM_017013097.1;XM_006716244.2;XM_006716245.2;NM_001908.4,BX647952.1;L16510.1;M13230.1;AK296845.1;BX647765.1;AK075393.1;AK297687.1;BC095408.1;BX648239.1;AK130184.1;AK128472.1;AK092070.1;AK097384.1;BC010240.1;AK290239.1,,Silencer® Select,Inventoried,,*,,,,
s3136,4390824,CLCN3,chloride voltage-gated channel 3,CLC3;ClC-3,NM_001829.3;NM_173872.3;NM_001243372.1,AF172729.1;X78520.1;BC136510.1;AB019542.1;AK304362.1;BC054877.1;BX647119.1;AF029346.1,,Silencer® Select,Inventoried,,*,,,,
s8191,4390824,LIMK2,LIM domain kinase 2,,NM_016733.2;NM_005569.3;NM_001031801.1,AK302553.1;AK291640.1;CR456513.1;AL117466.1;D45906.1;BC013051.1;AB451269.1;AK314391.1;AB451396.1;AK299112.1;AK293774.1,,Silencer® Select,Inventoried,,*,,,,
s323,4390824,IRAK1,interleukin 1 receptor associated kinase 1,IRAK;pelle,NM_001569.3;XM_011531158.2;NM_001025242.1;NM_001025243.1;XM_005274668.3,BC054000.1;BC014963.1;L76191.1,,Silencer® Select,Inventoried,,*,,,,
s670,4390824,PSMB7,proteasome subunit beta 7,,NM_002799.3,AJ420455.1;AK223007.1;BC008414.1;CR456721.1;AK314302.1;D38048.1;BC017116.2;BC000509.2;GU727627.1;AK098757.1;AK223356.1;BT007218.1,,Silencer® Select,Inventoried,,*,,,,
s11695,4390824,RAB27A,RAB27A, member RAS oncogene family,GS2;HsT18676;RAB27;RAM,XM_005254576.4;XM_011521856.2;NM_004580.4;NM_183236.2;NM_183235.2;NM_183234.2;XM_011521854.1;XM_011521855.2;XM_011521852.1,DA553342.1;U38654.3;BC107680.1;AF498953.1;BC136423.1;BM014705.1;U57094.1;AK312836.1;AF125393.1;CR536496.1;DA182503.1;CR541693.1;AV661679.1;BC132800.1;CR457076.1,,Silencer® Select,Inventoried,,*,,,
s1671,4390824,ASL,argininosuccinate lyase,ASAL,NM_000048.3;NM_001024946.1;NM_001024943.1;NM_001024944.1,M14218.1;KU177920.1;BC033146.1;BC008195.1;M57638.1;KU177921.1;J03058.1;KU177922.1;Y00753.1,,Silencer® Select,Inventoried,,*,,,,
s2725,4390824,ADGRE5,adhesion G protein-coupled receptor E5,CD97;TM7LN1,NM_078481.3;XM_011528451.2;NM_001784.4;NM_001025160.2;XM_017027547.1,AX775811.1;U76764.1;AK225655.1;AX775809.1;X84700.1;AK314697.1;AK225677.1;AX775813.1;AK304553.1;AK097264.1;AK308368.1;AK300343.1;AX775807.1;AK292159.1;BC026690.2,,Silencer® Select,Inventoried,,*,,,,
s20564,4390824,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein,GRY-RBP;GRYRBP;HNRNPQ;HNRPQ1;NSAP1;PP68;hnRNP-Q,NM_001159675.1;NM_001159676.1;XM_017010179.1;XM_017010180.1;XM_017010177.1;XM_017010178.1;NM_001253771.1;XM_017010176.1;NM_006372.4;XM_005248635.4;XM_005248637.2;XM_005248636.2;NM_001159674.1;NM_001159673.1;NM_001159677.1,AY034482.1;BC032643.1;BC040844.1;AY034481.1;AY034483.1;AK299796.1;AK222776.1;BC024283.1;AB209098.1;AF155568.1;AK313572.1;CV806885.1;AF037448.1;BC015575.2,,Silencer® Select,Inventoried,,*,,,,
s698,4390824,ARHGDIA,Rho GDP dissociation inhibitor alpha,GDIA1;HEL-S-47e;NPHS8;RHOGDI;RHOGDI-1,XM_011523574.1;NM_001301240.1;NM_004309.5;NM_001301242.1;NM_001301241.1;NR_125441.1;NM_001301243.1;NM_001185078.2;NM_001185077.2,X69550.1;BC106044.1;KU177916.1;BC016185.1;BC013846.1;BC009759.2;BP325393.1;CR456777.1;D13989.1;BC016031.1;BC028333.1;BC075827.1;KU177917.1;EU794615.1;AK312347.1;AK300816.1;BC024258.1;AK293147.1;DC406556.1;DA433004.1;M97579.1;AF498926.1;CF132249.1;BC008701.3;BC005851.2;BC027730.2;BQ674863.1;BT006884.1;BC005875.2,,Silencer® Select,Inventoried,,*,,,,
s564,4390824,EGFR,epidermal growth factor receptor,ERBB;ERBB1;HER1;NISBD2;PIG61;mENA,NM_005228.3;NM_201284.1;NM_201282.1;NM_201283.1,U48722.1;AK290352.1;AB209442.1;AF125253.1;BC128419.1;HQ912715.1;DQ088980.1;AY550966.1;AK294750.1;K03193.1;BC094761.1;HQ999997.1;AY698024.1;X00663.1;U95089.1;GU255993.1;BC118665.1;X00588.1;AY698023.1,,Silencer® Select,Inventoried,,*,,,,
s10800,4390824,POLR2C,RNA polymerase II subunit C,RPB3;RPB31;hRPB33;hsRPB3,NM_032940.2,BC003159.1;BI458170.1;AF008443.1;J05448.1;BC000409.2;AK300124.1;CR542041.1;AK295582.1;AK293112.1;BC028157.1;AJ224143.1;AJ224144.1,,Silencer® Select,Inventoried,,*,,,,
s351,4390824,LDHA,lactate dehydrogenase A,GSD11;HEL-S-133P;LDHM;PIG19,NR_028500.1;NM_001165414.1;NM_001165416.1;NM_005566.3;NM_001165415.1,AK307477.1;BC067223.1;CR456775.1;AK026515.1;BG424022.1;AK130035.1;EU794632.1;BG760757.1;CR541714.1;AY423727.1;AK296089.1;AK130587.1;AK223078.1;AK130105.1;AK298834.1;X02152.1,,Silencer® Select,Inventoried,,*,,,,
s17799,4390824,PTER,phosphotriesterase related,HPHRP;RPR-1,NM_030664.4;XM_017016927.1;NM_001261836.1;NM_001261838.1;NM_001001484.2,BC015092.1;BX648556.1;BC050411.1;AK314910.1;BU172463.1,,Silencer® Select,Inventoried,,*,,,,
s18241,4390824,PMPCB,peptidase, mitochondrial processing beta subunit,Beta-MPP;MPP11;MPPB;MPPP52;P-52,XM_005250717.3;XM_006716181.3;NM_004279.2,AF054182.1;AK289864.1;AL050216.1;AK000994.1;AK057656.1;AK297354.1;AK098616.1;BC014079.2,,Silencer® Select,Inventoried,,*,,,
s583,4390824,PTP4A2,protein tyrosine phosphatase type IVA, member 2,HH13;HH7-2;HU-PP-1;OV-1;PRL-2;PRL2;PTP4A;PTPCAAX2;ptp-IV1a;ptp-IV1b,XM_017002401.1;XM_005271232.3;XM_005271231.3;NM_001195101.1;NM_080391.3;NM_001195100.1,U48297.1;U14603.1;AK292703.1;AF208850.1;BC070182.1;L39000.1;BC018662.1;AK297280.1,,Silencer® Select,Inventoried,,*,,,
s28442,4390824,DHRS7,dehydrogenase/reductase 7,CGI-86;SDR34C1;retDSR4;retSDR4,NM_016029.3;NM_001322282.1;NM_001322281.1;NM_001322280.1;XM_017021368.1,AF126782.1;BC007337.2;AL117420.1;BC000637.2;AY359031.1;AF151844.1;AK313285.1,,Silencer® Select,Inventoried,,*,,,,
s13087,4390824,SLC20A1,solute carrier family 20 member 1,GLVR1;Glvr-1;PIT1;PiT-1,XM_017004770.1;XM_017004769.1;XM_017004768.1;NM_005415.4;XM_017004771.1,BC075818.1;BX647555.1;L20859.1;AK312738.1;BC019944.1,,Silencer® Select,Inventoried,,*,,,,
s11000,4390824,PPP4C,protein phosphatase 4 catalytic subunit,PP-X;PP4;PP4C;PPH3;PPP4;PPX,NM_001303503.1;NM_002720.2;NM_001303507.1;XM_017023403.1;NM_001303506.1;XM_017023404.1,AL519181.3;AF097996.1;X70218.1;BG706310.1;BT019746.1;BG741669.1;BC001416.2,,Silencer® Select,Inventoried,,*,,,,
s28277,4390824,ZC3HC1,zinc finger C3HC-type containing 1,HSPC216;NIPA,XM_011516289.2;NM_001282191.1;NM_001282190.1;XM_011516288.2;XM_017012287.1;XM_017012288.1;NM_016478.4;XM_005250403.2;XM_011516290.2,AF151050.1;BC000190.1;AK001317.1;AK022373.1;AJ537494.1;BC011551.1;BC028917.1,,Silencer® Select,Inventoried,,*,,,,
s9858,4390824,TNFRSF11B,TNF receptor superfamily member 11b,OCIF;OPG;PDB5;TR1,NM_002546.3,BM748946.1;U94332.1;AK313710.1;AK223155.1;DA477521.1;AF134187.1;AB002146.1;AK308524.1;BC030155.2,,Silencer® Select,Inventoried,,*,,,,
s26307,4390824,GIT1,GIT ArfGAP 1,,XM_011524684.1;XM_011524685.1;NM_001085454.1;NM_014030.3,AK299932.1;AF124490.1;AK294785.1;BC067358.1;BC048196.1;AB209537.1;DR001908.1;CF994106.1,,Silencer® Select,Inventoried,,*,,,,
s20716,4390824,SLC19A2,solute carrier family 19 member 2,TC1;THMD1;THT1;THTR1;TRMA,NM_006996.2,AF160812.1;AF135488.1;AJ237724.1;AF272359.1;AF153330.1;AK304021.1;AK313779.1;KU178535.1,,Silencer® Select,Inventoried,,*,,,,
s26136,4390824,RAB30,RAB30, member RAS oncogene family,,NM_001286061.1;NM_014488.4;NM_001286059.1;NM_001286060.1,BP336371.1;AK291376.1;CR542106.1;AF498956.1;DB151524.1;BC014213.2;AK312323.1;BX641138.1;BP310715.1,,Silencer® Select,Inventoried,,*,,,
s9733,4390824,YBX1,Y-box binding protein 1,BP-8;CBF-A;CSDA2;CSDB;DBPB;EFI-A;MDR-NF1;NSEP-1;NSEP1;YB-1;YB1,NR_132737.1;NM_004559.4,M83234.1;BC106045.1;BC072014.1;L28809.1;BC000064.2;BC020164.1;BC010430.1;BC018393.1;M85234.1;BC071708.1;AK309996.1;BC002411.2;BC065571.1;J03827.1;BC038384.1;BC090038.1;BC070084.1;BC013838.1;BC015208.1;M24070.1;BC098435.1,,Silencer® Select,Inventoried,,*,,,,
s15835,4390824,FZD1,frizzled class receptor 1,,NM_003505.1,AF072872.1;AK314996.1;AB017363.1;BC051271.1,,Silencer® Select,Inventoried,,*,,,,
s195736,4390824,DYNLL2,dynein light chain LC8-type 2,DNCL1B;Dlc2;RSPH22,NM_080677.2,BC010744.1;DA140058.1;BF528423.1;AF112997.1;AK312125.1;AF086304.1,,Silencer® Select,Inventoried,,*,,,,
s1631,4390824,ARSB,arylsulfatase B,ASB;G4S;MPS6,NM_000046.3;XM_011543392.2;XM_011543391.2;XM_011543390.1;XM_017009471.1;NM_198709.2,BC029051.1;M32373.1;AK290865.1;AK314903.1,,Silencer® Select,Inventoried,,*,,,,
s16384,4390824,PLPP3,phospholipid phosphatase 3,Dri42;LPP3;PAP2B;PPAP2B;VCIP,NM_003713.4,BT019589.1;AK312439.1;AF480883.1;AF043329.1;U79294.1;AB000889.1;AF017786.1;BC009196.2,,Silencer® Select,Inventoried,,*,,,,
s34854,4390824,PLPPR2,phospholipid phosphatase related 2,LPPR2;PRG4,NM_001170635.1;XM_005260017.1;XM_017027147.1;XM_017027148.1;NM_022737.2,AK094869.1;AY339628.1;AY304516.1;CR936652.1;AK023117.1;AK225482.1;BC009378.1,,Silencer® Select,Inventoried,,*,,,,
s7801,4390824,KCNN4,potassium calcium-activated channel subfamily N member 4,DHS2;IK;IK1;IKCA1;KCA4;KCa3.1;SK4;hIKCa1;hKCa4;hSK4,NM_002250.2;XM_005258882.2;XM_005258883.2;XM_011526938.1,AB128985.1;AF395661.1;AB128984.1;BC015337.1;AF022150.1;AF000972.1;AF033021.1;BT007426.1;AF022797.1;AB128983.1,,Silencer® Select,Inventoried,,*,,,,
